year,winners,category
1950,Broderick Crawford,Best Actor in a Leading Role
1950,Dean Jagger,Best Actor in a Supporting Role
1950,Olivia de Havilland,Best Actress in a Leading Role
1950,Mercedes McCambridge,Best Actress in a Supporting Role
1950,The Heiress,"Best Art Direction-Set Decoration, Black-and-White"
1950,Little Women,"Best Art Direction-Set Decoration, Color"
1950,Battleground,"Best Cinematography, Black-and-White"
1950,She Wore a Yellow Ribbon,"Best Cinematography, Color"
1950,The Heiress,"Best Costume Design, Black-and-White"
1950,Adventures of Don Juan,"Best Costume Design, Color"
1950,Joseph L. Mankiewicz,Best Director
1950,Daybreak in Udi,"Best Documentary, Features"
1950,A Chance to Live,"Best Documentary, Short Subjects"
1950,Mighty Joe Young,"Best Effects, Special Effects"
1950,Champion,Best Film Editing
1950,Neptune's Daughter,"Best Music, Original Song"
1950,The Heiress,"Best Music, Scoring of a Dramatic or Comedy Picture"
1950,On the Town,"Best Music, Scoring of a Musical Picture"
1950,All the King's Men,Best Picture
1950,For Scent-imental Reasons,"Best Short Subject, Cartoons"
1950,Aquatic House Party,"Best Short Subject, One-reel"
1950,Van Gogh,"Best Short Subject, Two-reel"
1950,Twelve O'Clock High,"Best Sound, Recording"
1950,The Stratton Story,"Best Writing, Motion Picture Story"
1950,A Letter to Three Wives,"Best Writing, Screenplay"
1950,Battleground,"Best Writing, Story and Screenplay"
1951,José Ferrer,Best Actor in a Leading Role
1951,George Sanders,Best Actor in a Supporting Role
1951,Judy Holliday,Best Actress in a Leading Role
1951,Josephine Hull,Best Actress in a Supporting Role
1951,Sunset Blvd.,"Best Art Direction-Set Decoration, Black-and-White"
1951,Samson and Delilah,"Best Art Direction-Set Decoration, Color"
1951,The Third Man,"Best Cinematography, Black-and-White"
1951,King Solomon's Mines,"Best Cinematography, Color"
1951,All About Eve,"Best Costume Design, Black-and-White"
1951,Samson and Delilah,"Best Costume Design, Color"
1951,Joseph L. Mankiewicz,Best Director
1951,The Titan: Story of Michelangelo,"Best Documentary, Features"
1951,Why Korea?,"Best Documentary, Short Subjects"
1951,Destination Moon,"Best Effects, Special Effects"
1951,King Solomon's Mines,Best Film Editing
1951,"Captain Carey, U.S.A.","Best Music, Original Song"
1951,Sunset Blvd.,"Best Music, Scoring of a Dramatic or Comedy Picture"
1951,Annie Get Your Gun,"Best Music, Scoring of a Musical Picture"
1951,All About Eve,Best Picture
1951,Gerald McBoing-Boing,"Best Short Subject, Cartoons"
1951,Grandad of Races,"Best Short Subject, One-reel"
1951,Beaver Valley,"Best Short Subject, Two-reel"
1951,All About Eve,"Best Sound, Recording"
1951,Panic in the Streets,"Best Writing, Motion Picture Story"
1951,All About Eve,"Best Writing, Screenplay"
1951,Sunset Blvd.,"Best Writing, Story and Screenplay"
1952,Humphrey Bogart,Best Actor in a Leading Role
1952,Karl Malden,Best Actor in a Supporting Role
1952,Vivien Leigh,Best Actress in a Leading Role
1952,Kim Hunter,Best Actress in a Supporting Role
1952,A Streetcar Named Desire,"Best Art Direction-Set Decoration, Black-and-White"
1952,An American in Paris,"Best Art Direction-Set Decoration, Color"
1952,A Place in the Sun,"Best Cinematography, Black-and-White"
1952,An American in Paris,"Best Cinematography, Color"
1952,A Place in the Sun,"Best Costume Design, Black-and-White"
1952,An American in Paris,"Best Costume Design, Color"
1952,George Stevens,Best Director
1952,Kon-Tiki,"Best Documentary, Features"
1952,Benjy,"Best Documentary, Short Subjects"
1952,When Worlds Collide,"Best Effects, Special Effects"
1952,A Place in the Sun,Best Film Editing
1952,Here Comes the Groom,"Best Music, Original Song"
1952,A Place in the Sun,"Best Music, Scoring of a Dramatic or Comedy Picture"
1952,An American in Paris,"Best Music, Scoring of a Musical Picture"
1952,An American in Paris,Best Picture
1952,The Two Mouseketeers,"Best Short Subject, Cartoons"
1952,World of Kids,"Best Short Subject, One-reel"
1952,Nature's Half Acre,"Best Short Subject, Two-reel"
1952,The Great Caruso,"Best Sound, Recording"
1952,Seven Days to Noon,"Best Writing, Motion Picture Story"
1952,A Place in the Sun,"Best Writing, Screenplay"
1952,An American in Paris,"Best Writing, Story and Screenplay"
1953,Gary Cooper,Best Actor in a Leading Role
1953,Anthony Quinn,Best Actor in a Supporting Role
1953,Shirley Booth,Best Actress in a Leading Role
1953,Gloria Grahame,Best Actress in a Supporting Role
1953,The Bad and the Beautiful,"Best Art Direction-Set Decoration, Black-and-White"
1953,Moulin Rouge,"Best Art Direction-Set Decoration, Color"
1953,The Bad and the Beautiful,"Best Cinematography, Black-and-White"
1953,The Quiet Man,"Best Cinematography, Color"
1953,The Bad and the Beautiful,"Best Costume Design, Black-and-White"
1953,Moulin Rouge,"Best Costume Design, Color"
1953,John Ford,Best Director
1953,The Sea Around Us,"Best Documentary, Features"
1953,Neighbours,"Best Documentary, Short Subjects"
1953,Plymouth Adventure,"Best Effects, Special Effects"
1953,High Noon,Best Film Editing
1953,High Noon,"Best Music, Original Song"
1953,High Noon,"Best Music, Scoring of a Dramatic or Comedy Picture"
1953,With a Song in My Heart,"Best Music, Scoring of a Musical Picture"
1953,The Greatest Show on Earth,Best Picture
1953,Johann Mouse,"Best Short Subject, Cartoons"
1953,Light in the Window,"Best Short Subject, One-reel"
1953,Water Birds,"Best Short Subject, Two-reel"
1953,The Sound Barrier,"Best Sound, Recording"
1953,The Greatest Show on Earth,"Best Writing, Motion Picture Story"
1953,The Bad and the Beautiful,"Best Writing, Screenplay"
1953,The Lavender Hill Mob,"Best Writing, Story and Screenplay"
1954,William Holden,Best Actor in a Leading Role
1954,Frank Sinatra,Best Actor in a Supporting Role
1954,Audrey Hepburn,Best Actress in a Leading Role
1954,Donna Reed,Best Actress in a Supporting Role
1954,Julius Caesar,"Best Art Direction-Set Decoration, Black-and-White"
1954,The Robe,"Best Art Direction-Set Decoration, Color"
1954,From Here to Eternity,"Best Cinematography, Black-and-White"
1954,Shane,"Best Cinematography, Color"
1954,Roman Holiday,"Best Costume Design, Black-and-White"
1954,The Robe,"Best Costume Design, Color"
1954,Fred Zinnemann,Best Director
1954,The Living Desert,"Best Documentary, Features"
1954,The Alaskan Eskimo,"Best Documentary, Short Subjects"
1954,The War of the Worlds,"Best Effects, Special Effects"
1954,From Here to Eternity,Best Film Editing
1954,Calamity Jane,"Best Music, Original Song"
1954,Lili,"Best Music, Scoring of a Dramatic or Comedy Picture"
1954,Call Me Madam,"Best Music, Scoring of a Musical Picture"
1954,From Here to Eternity,Best Picture
1954,"Toot, Whistle, Plunk and Boom","Best Short Subject, Cartoons"
1954,Overture to The Merry Wives of Windsor,"Best Short Subject, One-reel"
1954,Bear Country,"Best Short Subject, Two-reel"
1954,From Here to Eternity,"Best Sound, Recording"
1954,Roman Holiday,"Best Writing, Motion Picture Story"
